Legacy Code	Legacy Name	Count  (Perm Unsup)	Count  (Perm Supp)	Action  (Perm Unsup)	Action  (Perm Supp)	FOLIO Code	FOLIO Label	FOLIO service point	Notes
69	Alphin Quiet Room	5,059	4	Merge	Merge	AQR	Alphin Quiet Room	AAL/Albert Alphin Library	
9	Off-Site Storage	14,053	12	Merge	Merge	OSS	Off-Site Storage	AAL/Albert Alphin Library and SGL/Stan Getz Library	
1	Stacks	189		Purge	Purge				
	Totals	102,250	1843						
									
Koha									
CIRC	Alphin Circulation Desk	3,557	96	Keep	Keep	ACD	Alphin Circulation Desk	AAL/Albert Alphin Library	
CAT	Alphin Cataloging Office	8,835	2435	Keep	Keep	ACO	Alphin Cataloging Office	AAL/Albert Alphin Library	
AAL DIS	Alphin Display - Main	30		Keep	Keep	ADM	Alphin Display - Main	AAL/Albert Alphin Library	
DIR	Director's Office	648	2	Keep	Keep	ADO	Director’s Office	AAL/Albert Alphin Library	
STOR-ON	Alphin Storage	3,264	3	Keep	Keep	AST	Alphin Storage	AAL/Albert Alphin Library	
STOR-OFF	Storage (off-site)	2,166	2	Keep	Keep	OSS	Off-Site Storage	AAL/Albert Alphin Library and SGL/Stan Getz Library	
PERF	132 Ipswich - Performance Library	2,225	1	Keep	Keep	PLB	132 Ipswich - Performance Library	PRF/Performance Library	
PERFSTOR	Performance Library Storage	496	1	Keep	Keep	PLS	Performance Library Storage	PRF/Performance Library	
QR DIS	Alphin Display - Quiet Room	13		Merge	Merge	ADQ	Alphin Display - Quiet Room	AAL/Albert Alphin Library	
MAIN	Alphin Main Room	25,000	265	Merge	Merge	AMR	Alphin Main Room	AAL/Albert Alphin Library	
QUIET	Alphin Quiet Room	6,775	37	Merge	Merge	AQR	Alphin Quiet Room	AAL/Albert Alphin Library	
AAL DEI	 Alphin DEI Collection			New	New	ADEI	Alphin Diversity, Equity, and Inclusion Collection	AAL/Albert Alphin Library	
ONLINE	Online	1,310	7	Purge	Purge				
 	Music	14		Purge	Purge				
MUS	Books - Music (ML,MT)	14		Purge	Purge				
MSC	Scores - Study (MSc)	12	2	Purge	Purge				
CORES		10		Purge	Purge				
SCO	Scores - Classical	9		Purge	Purge				
SCO	Score	9		Purge	Purge				
DIS AAL		9		Purge	Purge				
ILL		5		Purge	Purge				
		4		Purge	Purge				
REFM3		2		Purge	Purge				
OVRSZ		2		Purge	Purge				
SETPT	Scores - Chamber sets & parts (M177-M1489)	1		Purge	Purge				
DMTBK	Books - Theater	1		Purge	Purge				
MTMUS		1		Purge	Purge				
	Totals	54,412	2,851						
