# accounts	pType	pCode3	Sierra Description	FOLIO Patron Group	TIER		TIER	FOLIO Patron Group		
28	7	27	VISSCH UCBoulder Visiting Schol	CU Boulder Visiting scholars	1					
17	7	23	FRIEND UCBoulder Friend	Friends of the Libraries	1					
2	7	86	FRIENDS Friends Silver	Friends of the Libraries	1					
1	7	199	Libraries Research Partners	Research partners	2					
2	8	25	POI UCB Person of Interest	CU Boulder POI “External Instructors”	1					
1	8	199	Libraries Research Partners	Research partners	2					
1	9	77	ILL	ILL	ILL					
37	9	70	Lib Department	Library Department	Library Department					
7	9	80	Department	Library Department	Library Department					
2780	10	78	ILLEND ILL Lending	ILL	ILL					
67	11	0	UCBF UCBoulder Faculty	CU Boulder faculty/staff	1					
76	11	1	UCBS UCBoulder Staff	CU Boulder faculty/staff	1					
2976	16		UCBSS UCBoulder Special	Continuing Ed students, degree and non-degree seeking	1					
4	22	70	Lib Department	Library Department	Library Department					
696	23	200	CU Boulder Law Student	Law students	1					
114	24	201	CU Boulder Law Faculty/Staff	Law faculty/staff	1					
44	25	31	High school student	Colorado high school teachers/students	2					
8	25	207	CU Boulder Spouse/Partner	CU Boulder faculty/staff spouses/partners	3					
888	25	28	PUBPAT  Public Patron	CU Public Patron	3					
1	26	80	Dept	CU Boulder Department	CU Boulder Department					
1	26	152	Film Studies	CU Boulder Department	CU Boulder Department					
3	26	170	Law	CU Boulder Department	CU Boulder Department					
85	30	70	Google Books	Library Department	Library Department					
				Law Public Patron	Privileges at Law, not main campus					
